date,x1_kospi200_return,x2_kospi200_range,x3_kospi200_abs_oc,x4_futures_return,x5_futures_range,x6_basis,x7_sp500_return,x8_nasdaq_return,x9_vix_change,x10_usdkrw_change,Y1_shock_vol
2022-01-05,-0.0126707132,0.0195701734,0.0115781654,-0.0142001149,0.0189286706,0.0015294017,-0.0006296220,-0.0132686626,0.0186746662,0.0058091770,0.0012392514
2022-01-06,-0.0106816261,0.0134897209,0.0009580032,-0.0100471829,0.0134574408,-0.0006344432,-0.0193927578,-0.0334480688,0.1667652111,0.0015233755,0.0097338559
2022-01-07,0.0119879861,0.0094409620,0.0065242420,0.0125322418,0.0103004292,-0.0005442557,-0.0009637690,-0.0012787651,-0.0060820545,0.0022983702,0.0053855316
2022-01-10,-0.0085198925,0.0140637903,0.0055739059,-0.0076145646,0.0144531250,-0.0009053280,0,0,0,0,0.0029934758
2022-01-11,0.0037417424,0.0107206211,0.0016710800,0.0029854911,0.0100703814,0.0007562513,-0.0054854115,-0.0091526790,-0.0107088723,-0.0019762311,0.0020644096
